,数据类型,缺失数量,缺失比例(%),唯一值数量
DaySinceLastOrder,float64,307,5.45,22
OrderAmountHikeFromlastYear,float64,265,4.71,16
Tenure,float64,264,4.69,36
OrderCount,float64,258,4.58,16
CouponUsed,float64,256,4.55,17
HourSpendOnApp,float64,255,4.53,6
WarehouseToHome,float64,251,4.46,34
CustomerID,int64,0,0.0,5630
PreferredLoginDevice,str,0,0.0,3
Churn,int64,0,0.0,2
PreferredPaymentMode,str,0,0.0,7
CityTier,int64,0,0.0,3
SatisfactionScore,int64,0,0.0,5
PreferedOrderCat,str,0,0.0,6
NumberOfDeviceRegistered,int64,0,0.0,6
Gender,str,0,0.0,2
Complain,int64,0,0.0,2
NumberOfAddress,int64,0,0.0,15
MaritalStatus,str,0,0.0,3
CashbackAmount,float64,0,0.0,2586
